Apparel,Shoe,Brand,Sport,Clearance,Fan Gear,league,team,link,image,price
tops,,puma,golf,,,,,<a href="http://www.amazon.com/gp/product/B00A8YOKT0/ref=as_li_qf_sp_asin_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B00A8YOKT0&linkCode=as2&tag=golclujun0d-20" target="_blank">Puma Golf NA Women's Tech Short Sleeve Polo Tee</a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=golclujun0d-20&l=as2&o=1&a=B00A8YOKT0" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />,<a href="http://www.amazon.com/gp/product/B00A8YOKT0/ref=as_li_qf_sp_asin_il?ie=UTF8&camp=1789&creative=9325&creativeASIN=B00A8YOKT0&linkCode=as2&tag=golclujun0d-20" target="_blank"><img border="0" src="http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=B00A8YOKT0&Format=_SL110_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=golclujun0d-20" ></a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=golclujun0d-20&l=as2&o=1&a=B00A8YOKT0" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />,32.84
tops,,puma,golf,,,,,<a href="http://www.amazon.com/gp/product/B00A4OQIBW/ref=as_li_qf_sp_asin_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B00A4OQIBW&linkCode=as2&tag=golclujun0d-20" target=”_blank”>Puma Golf Women's Longsleeve Polo</a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=golclujun0d-20&l=as2&o=1&a=B00A4OQIBW" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />,<a href="http://www.amazon.com/gp/product/B00A4OQIBW/ref=as_li_qf_sp_asin_il?ie=UTF8&camp=1789&creative=9325&creativeASIN=B00A4OQIBW&linkCode=as2&tag=golclujun0d-20" target=”_blank”><img border="0" src="http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=B00A4OQIBW&Format=_SL110_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=golclujun0d-20" ></a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=golclujun0d-20&l=as2&o=1&a=B00A4OQIBW" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />,60
tops,,Cutter & buck,golf,,TRUE,NFL,Washington Redskins,<a href="http://www.amazon.com/gp/product/B003VQR7HO/ref=as_li_qf_sp_asin_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B003VQR7HO&linkCode=as2&tag=golclujun0d-20" target=”_blank”>NFL Washington Redskins Women's Polo</a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=golclujun0d-20&l=as2&o=1&a=B003VQR7HO" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />,<a href="http://www.amazon.com/gp/product/B003VQR7HO/ref=as_li_qf_sp_asin_il?ie=UTF8&camp=1789&creative=9325&creativeASIN=B003VQR7HO&linkCode=as2&tag=golclujun0d-20" target=”_blank”><img border="0" src="http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=B003VQR7HO&Format=_SL110_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=golclujun0d-20" ></a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=golclujun0d-20&l=as2&o=1&a=B003VQR7HO" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />,32.84
shorts,,under armour,running,,,,,<a href="http://www.amazon.com/gp/product/B00459UEUS/ref=as_li_qf_sp_asin_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B00459UEUS&linkCode=as2&tag=golclujun0d-20" target="_blank">Under Armour Women's UA Escape 3" Running Shorts</a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=golclujun0d-20&l=as2&o=1&a=B00459UEUS" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />,<a href="http://www.amazon.com/gp/product/B00459UEUS/ref=as_li_qf_sp_asin_il?ie=UTF8&camp=1789&creative=9325&creativeASIN=B00459UEUS&linkCode=as2&tag=golclujun0d-20" target="_blank"><img border="0" src="http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=B00459UEUS&Format=_SL110_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=golclujun0d-20" ></a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=golclujun0d-20&l=as2&o=1&a=B00459UEUS" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />,24.99
tops,,reebok,hockey,,TRUE,NHL,Washington Capitals,<a href="http://www.amazon.com/gp/product/B001JIHR44/ref=as_li_tf_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B001JIHR44&linkCode=as2&tag=golclujun0d-20" target="_blank">NHL Women's Washington Capitals Premier Jersey</a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=golclujun0d-20&l=as2&o=1&a=B001JIHR44" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />,<a href="http://www.amazon.com/gp/product/B001JIHR44/ref=as_li_tf_il?ie=UTF8&camp=1789&creative=9325&creativeASIN=B001JIHR44&linkCode=as2&tag=golclujun0d-20" target="_blank"><img border="0" src="http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=B001JIHR44&Format=_SL110_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=golclujun0d-20" ></a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=golclujun0d-20&l=as2&o=1&a=B001JIHR44" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />,99.95
pants,,nike,golf,,,,,<a href="http://www.amazon.com/gp/product/B00AMOOHQM/ref=as_li_qf_sp_asin_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B00AMOOHQM&linkCode=as2&tag=golclujun0d-20" target="_blank">Nike Golf Women's Modern Rise Tech Pants</a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=golclujun0d-20&l=as2&o=1&a=B00AMOOHQM" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />,<a href="http://www.amazon.com/gp/product/B00AMOOHQM/ref=as_li_qf_sp_asin_il?ie=UTF8&camp=1789&creative=9325&creativeASIN=B00AMOOHQM&linkCode=as2&tag=golclujun0d-20" target="_blank"><img border="0" src="http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=B00AMOOHQM&Format=_SL110_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=golclujun0d-20" ></a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=golclujun0d-20&l=as2&o=1&a=B00AMOOHQM" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />,85
tops,,reebok,hockey,,TRUE,NHL,Pittsburgh Penguins,<a href="http://www.amazon.com/gp/product/B001YUD37W/ref=as_li_qf_sp_asin_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B001YUD37W&linkCode=as2&tag=golclujun0d-20" target="_blank">NHL Women's Pittsburgh Penguins Premier Jersey</a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=golclujun0d-20&l=as2&o=1&a=B001YUD37W" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />,<a href="http://www.amazon.com/gp/product/B001YUD37W/ref=as_li_qf_sp_asin_il?ie=UTF8&camp=1789&creative=9325&creativeASIN=B001YUD37W&linkCode=as2&tag=golclujun0d-20" target="_blank"><img border="0" src="http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=B001YUD37W&Format=_SL110_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=golclujun0d-20" ></a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=golclujun0d-20&l=as2&o=1&a=B001YUD37W" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />,99.95
shorts,,mizuno,softball,,,,,<a href="http://www.amazon.com/gp/product/B000XRO5KG/ref=as_li_qf_sp_asin_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B000XRO5KG&linkCode=as2&tag=golclujun0d-20" target="_blank">Mizuno Low Rise Compression Sliding Shorts</a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=golclujun0d-20&l=as2&o=1&a=B000XRO5KG" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />,<a href="http://www.amazon.com/gp/product/B000XRO5KG/ref=as_li_qf_sp_asin_il?ie=UTF8&camp=1789&creative=9325&creativeASIN=B000XRO5KG&linkCode=as2&tag=golclujun0d-20" target="_blank"><img border="0" src="http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=B000XRO5KG&Format=_SL110_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=golclujun0d-20" ></a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=golclujun0d-20&l=as2&o=1&a=B000XRO5KG" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />,21.56
shorts,,aero tech,cycling,,,,,<a href="http://www.amazon.com/gp/product/B000Y0HBEO/ref=as_li_qf_sp_asin_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B000Y0HBEO&linkCode=as2&tag=golclujun0d-20" target="_blank">Aero Tech Women's Padded Classic Bike Shorts</a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=golclujun0d-20&l=as2&o=1&a=B000Y0HBEO" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />,<a href="http://www.amazon.com/gp/product/B000Y0HBEO/ref=as_li_qf_sp_asin_il?ie=UTF8&camp=1789&creative=9325&creativeASIN=B000Y0HBEO&linkCode=as2&tag=golclujun0d-20" target="_blank"><img border="0" src="http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=B000Y0HBEO&Format=_SL110_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=golclujun0d-20" ></a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=golclujun0d-20&l=as2&o=1&a=B000Y0HBEO" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />,29.99
pants,,YogaColors,yoga,,,,,<a href="http://www.amazon.com/gp/product/B008VJOGKC/ref=as_li_qf_sp_asin_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B008VJOGKC&linkCode=as2&tag=golclujun0d-20" target="_blank">YogaColors Crystal Cotton Spandex Jersey Yoga Pant</a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=golclujun0d-20&l=as2&o=1&a=B008VJOGKC" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />,<a href="http://www.amazon.com/gp/product/B008VJOGKC/ref=as_li_qf_sp_asin_il?ie=UTF8&camp=1789&creative=9325&creativeASIN=B008VJOGKC&linkCode=as2&tag=golclujun0d-20" target="_blank"><img border="0" src="http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=B008VJOGKC&Format=_SL110_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=golclujun0d-20" ></a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=golclujun0d-20&l=as2&o=1&a=B008VJOGKC" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />,21.99
pants,,puma,soccer,,,,,<a href="http://www.amazon.com/gp/product/B006VE8YX4/ref=as_li_qf_sp_asin_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B006VE8YX4&linkCode=as2&tag=golclujun0d-20" target="_blank">Puma Women's Soccer Pant </a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=golclujun0d-20&l=as2&o=1&a=B006VE8YX4" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />,<a href="http://www.amazon.com/gp/product/B006VE8YX4/ref=as_li_qf_sp_asin_il?ie=UTF8&camp=1789&creative=9325&creativeASIN=B006VE8YX4&linkCode=as2&tag=golclujun0d-20" target="_blank"><img border="0" src="http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=B006VE8YX4&Format=_SL110_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=golclujun0d-20" ></a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=golclujun0d-20&l=as2&o=1&a=B006VE8YX4" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />,49.99
shorts,,puma,soccer,,,,,<a href="http://www.amazon.com/gp/product/B003YM9AMA/ref=as_li_qf_sp_asin_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B003YM9AMA&linkCode=as2&tag=golclujun0d-20" target="_blank">Puma Manchester Women's Short</a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=golclujun0d-20&l=as2&o=1&a=B003YM9AMA" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />,<a href="http://www.amazon.com/gp/product/B003YM9AMA/ref=as_li_qf_sp_asin_il?ie=UTF8&camp=1789&creative=9325&creativeASIN=B003YM9AMA&linkCode=as2&tag=golclujun0d-20" target="_blank"><img border="0" src="http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=B003YM9AMA&Format=_SL110_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=golclujun0d-20" ></a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=golclujun0d-20&l=as2&o=1&a=B003YM9AMA" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />,19.98
shorts,,adidas,soccer,,,,,<a href="http://www.amazon.com/gp/product/B004B2ZODG/ref=as_li_qf_sp_asin_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B004B2ZODG&linkCode=as2&tag=golclujun0d-20" target="_blank">adidas Women's Tiro 11 Short</a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=golclujun0d-20&l=as2&o=1&a=B004B2ZODG" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />,<a href="http://www.amazon.com/gp/product/B004B2ZODG/ref=as_li_qf_sp_asin_il?ie=UTF8&camp=1789&creative=9325&creativeASIN=B004B2ZODG&linkCode=as2&tag=golclujun0d-20" target="_blank"><img border="0" src="http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=B004B2ZODG&Format=_SL110_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=golclujun0d-20" ></a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=golclujun0d-20&l=as2&o=1&a=B004B2ZODG" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />,20
tops,,reebok,hockey,,TRUE,NHL,Colorado Avalance,<a href="http://www.amazon.com/gp/product/B0020859ME/ref=as_li_qf_sp_asin_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B0020859ME&linkCode=as2&tag=golclujun0d-20" target="_blank">NHL Women's Colorado Avalanche Reebok Premier Jersey</a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=golclujun0d-20&l=as2&o=1&a=B0020859ME" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />,<a href="http://www.amazon.com/gp/product/B0020859ME/ref=as_li_qf_sp_asin_il?ie=UTF8&camp=1789&creative=9325&creativeASIN=B0020859ME&linkCode=as2&tag=golclujun0d-20" target="_blank"><img border="0" src="http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=B0020859ME&Format=_SL110_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=golclujun0d-20" ></a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=golclujun0d-20&l=as2&o=1&a=B0020859ME" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />,100
